Customer,Date,OrderNumber,Warehouse
"Breckenridge Pharmaceutical, Inc.",2022-04-08 08:37:21.707,7861552,10
"Methapharm, Inc.",2022-04-13 11:33:45.157,MET208765,10
"Methapharm, Inc.",2022-04-18 12:50:06.983,MET208910,10
"Methapharm, Inc.",2022-04-18 12:50:17.047,MET208929,10
"Methapharm, Inc.",2022-04-19 10:40:27.180,MET208971,10
"Methapharm, Inc.",2022-04-19 10:40:27.930,MET208976,10
"Methapharm, Inc.",2022-04-20 15:40:02.630,MET209095,10
"Methapharm, Inc.",2022-04-21 14:10:00.947,MET209155,10
"Methapharm, Inc.",2022-04-25 11:10:00.883,MET209235,10
"Methapharm, Inc.",2022-04-08 17:40:27.627,MET208595,10
"Methapharm, Inc.",2022-04-18 12:50:08.123,MET208912,10
"Methapharm, Inc.",2022-04-20 12:20:02.343,MET209065,10
"Methapharm, Inc.",2022-04-20 12:20:03.483,MET209067,10
"Methapharm, Inc.",2022-04-20 12:20:04.140,MET209068,10
"Methapharm, Inc.",2022-04-20 12:20:06.017,MET209071,10
"Methapharm, Inc.",2022-04-20 12:20:06.640,MET209072,10
"Methapharm, Inc.",2022-04-20 14:50:08.543,MET209087,10
"Methapharm, Inc.",2022-04-21 10:10:11.863,MET209110,10
"Methapharm, Inc.",2022-04-21 10:10:12.330,MET209111,10
"Methapharm, Inc.",2022-04-21 10:10:12.783,MET209112,10
"Methapharm, Inc.",2022-04-21 10:10:13.880,MET209114,10
"Methapharm, Inc.",2022-04-21 10:10:17.440,MET209121,10
"Methapharm, Inc.",2022-04-21 10:10:18.863,MET209124,10
"Methapharm, Inc.",2022-04-21 11:30:58.397,MET209129,10
"Methapharm, Inc.",2022-04-21 11:31:06.397,MET209144,10
"Methapharm, Inc.",2022-04-21 11:31:07.490,MET209146,10
"Methapharm, Inc.",2022-04-21 13:20:03.260,MET209152,10
"Methapharm, Inc.",2022-04-22 18:40:07.233,MET209173,10
"Methapharm, Inc.",2022-04-22 18:40:09.060,MET209176,10
"Methapharm, Inc.",2022-04-22 18:40:25.470,MET209199,10
"Methapharm, Inc.",2022-04-22 18:40:27.550,MET209202,10
"Methapharm, Inc.",2022-04-22 18:40:29.517,MET209204,10
"Methapharm, Inc.",2022-04-22 18:40:31.437,MET209206,10
"Methapharm, Inc.",2022-04-22 18:40:47.687,MET209224,10
"Methapharm, Inc.",2022-04-25 10:20:02.190,MET209230,10
"Methapharm, Inc.",2022-04-25 10:20:04.830,MET209236,10
"Methapharm, Inc.",2022-04-25 11:50:00.927,MET209167,10
"Methapharm, Inc.",2022-04-25 15:10:02.560,MET209255,10
"Methapharm, Inc.",2022-04-25 15:10:04.777,MET209259,10
"Methapharm, Inc.",2022-04-25 15:10:05.387,MET209260,10
"Methapharm, Inc.",2022-04-25 15:10:07.480,MET209264,10
"Methapharm, Inc.",2022-04-25 15:10:07.950,MET209265,10
"Methapharm, Inc.",2022-04-25 15:10:08.933,MET209266,10
"Methapharm, Inc.",2022-04-25 15:10:12.730,MET209273,10
"Methapharm, Inc.",2022-04-25 15:10:13.200,MET209274,10
"Methapharm, Inc.",2022-04-05 12:50:01.340,MET208413,10
"Methapharm, Inc.",2022-04-05 12:50:01.827,MET208417,10
"Methapharm, Inc.",2022-04-05 12:50:02.420,MET208422,10
"Methapharm, Inc.",2022-04-06 12:34:21.683,MET208489,10
"Methapharm, Inc.",2022-04-07 13:40:51.270,MSP206866-TEST,10
"Methapharm, Inc.",2022-04-07 13:40:51.850,MSP206869-TEST,10
"Methapharm, Inc.",2022-04-07 13:40:52.850,MSP206872-TEST,10
"Methapharm, Inc.",2022-04-07 13:40:53.317,MSP206874-TEST,10
"Methapharm, Inc.",2022-04-07 13:44:35.907,MSP206134-TEST,10
"Methapharm, Inc.",2022-04-07 13:44:36.483,MSP206863-TEST,10
"Methapharm, Inc.",2022-04-12 10:27:53.353,MET208684,10
"Methapharm, Inc.",2022-04-14 13:03:30.487,MSP206864-TEST,10
"Methapharm, Inc.",2022-04-14 13:03:30.923,MSP206865-TEST,10
"Methapharm, Inc.",2022-04-14 13:03:32.640,MSP206877-TEST,10
"Methapharm, Inc.",2022-04-15 19:10:02.060,MET208864,10
"Methapharm, Inc.",2022-04-18 12:50:01.827,MET208901,10
"Methapharm, Inc.",2022-04-18 12:50:02.517,MET208902,10
"Methapharm, Inc.",2022-04-18 12:50:03.813,MET208904,10
"Methapharm, Inc.",2022-04-18 12:50:04.437,MET208905,10
"Methapharm, Inc.",2022-04-18 12:50:04.970,MET208906,10
"Methapharm, Inc.",2022-04-18 12:50:05.593,MET208907,10
"Methapharm, Inc.",2022-04-18 12:50:06.063,MET208908,10
"Methapharm, Inc.",2022-04-18 12:50:06.530,MET208909,10
"Methapharm, Inc.",2022-04-18 12:50:08.733,MET208913,10
"Methapharm, Inc.",2022-04-18 12:50:09.203,MET208914,10
"Methapharm, Inc.",2022-04-18 12:50:09.657,MET208915,10
"Methapharm, Inc.",2022-04-18 12:50:10.110,MET208916,10
"Methapharm, Inc.",2022-04-18 12:50:10.563,MET208917,10
"Methapharm, Inc.",2022-04-18 12:50:11.170,MET208918,10
"Methapharm, Inc.",2022-04-18 12:50:11.780,MET208919,10
"Methapharm, Inc.",2022-04-18 12:50:12.250,MET208920,10
"Methapharm, Inc.",2022-04-18 12:50:12.860,MET208921,10
"Methapharm, Inc.",2022-04-18 12:50:13.360,MET208922,10
"Methapharm, Inc.",2022-04-18 12:50:13.813,MET208923,10
"Methapharm, Inc.",2022-04-18 12:50:14.420,MET208924,10
"Methapharm, Inc.",2022-04-18 12:50:14.877,MET208925,10
"Methapharm, Inc.",2022-04-18 12:50:15.360,MET208926,10
"Methapharm, Inc.",2022-04-18 12:50:16.127,MET208928,10
"Methapharm, Inc.",2022-04-18 12:50:16.593,MET208930,10
"Methapharm, Inc.",2022-04-18 15:10:01.227,MET208931,10
"Methapharm, Inc.",2022-04-18 15:10:01.693,MET208932,10
"NBTY Global, Inc.",2022-04-08 14:03:30.190,6304621,10
TherapeuticsMD Sample,2022-04-13 09:09:25.310,7881583,10
Amatheon Pharmaceuticals,2022-04-18 13:41:34.803,7903714,10
Amatheon Pharmaceuticals,2022-04-06 16:54:08.227,TO0000240,10
Amatheon Pharmaceuticals,2022-04-07 08:34:34.950,SO0369688,10
Amatheon Pharmaceuticals,2022-04-07 13:36:04.327,TO0000239,10
Amatheon Pharmaceuticals,2022-04-18 16:10:10.507,SO0372270,10
Amatheon Pharmaceuticals,2022-04-08 13:10:09.410,SO0359807.1,10
Amatheon Pharmaceuticals,2022-04-11 10:01:26.767,SO0370127,10
Amatheon Pharmaceuticals,2022-04-08 15:15:09.463,SO0367668.1,10
Amatheon Pharmaceuticals,2022-04-11 14:10:10.173,SO0370583,10
Amatheon Pharmaceuticals,2022-04-19 17:15:08.913,SO0372668,10
Amatheon Pharmaceuticals,2022-04-20 16:12:49.907,SO0372686,10
Amatheon Pharmaceuticals,2022-04-20 18:10:13.730,SO0373057,10
Amatheon Pharmaceuticals,2022-04-21 09:10:09.767,SO0373057.1,10
Amatheon Pharmaceuticals,2022-04-21 13:15:12.817,SO0373212,10
Amatheon Pharmaceuticals,2022-04-25 16:15:08.130,SO0374019,10
Amatheon Pharmaceuticals,2022-04-07 13:15:09.320,SO0369412,10
Amatheon Pharmaceuticals,2022-04-07 17:10:16.423,SO0370086,10
Amatheon Pharmaceuticals,2022-04-08 15:15:08.153,SO0367024,10
Amatheon Pharmaceuticals,2022-04-11 15:10:12.153,SO0370605.1,10
Amatheon Pharmaceuticals,2022-04-11 17:10:08.500,SO0368967,10
Amatheon Pharmaceuticals,2022-04-13 17:10:08.623,SO0369082,10
Amatheon Pharmaceuticals,2022-04-14 12:10:08.577,SO0371255,10
Amatheon Pharmaceuticals,2022-04-14 14:10:07.057,SO0371525,10
Amatheon Pharmaceuticals,2022-04-14 15:15:09.343,SO0371430,10
Amatheon Pharmaceuticals,2022-04-14 15:15:09.657,SO0371630,10
Amatheon Pharmaceuticals,2022-04-07 09:22:29.540,AM04072022-01,10
Amatheon Pharmaceuticals,2022-04-05 17:10:17.600,SO0369358,10
Amatheon Pharmaceuticals,2022-04-18 12:15:08.450,SO0370022,10
Amatheon Pharmaceuticals,2022-04-07 16:15:02.583,7858945,10
Amatheon Pharmaceuticals,2022-04-01 18:15:10.980,SO0368042,10
Amatheon Pharmaceuticals,2022-04-05 11:20:02.667,SO0369091,10
Amatheon Pharmaceuticals,2022-04-12 18:10:09.157,SO0371141,10
Amatheon Pharmaceuticals,2022-04-18 13:15:09.177,SO0371876,10
Amatheon Pharmaceuticals,2022-04-18 15:15:08.017,SO0372235,10
Amatheon Pharmaceuticals,2022-04-01 17:15:05.247,SO0368793,10
Amatheon Pharmaceuticals,2022-04-04 12:10:12.813,SO0368832,10
Amatheon Pharmaceuticals,2022-04-07 15:15:04.447,SO0370047,10
Amatheon Pharmaceuticals,2022-04-13 14:10:11.293,SO0371197,10
Amatheon Pharmaceuticals,2022-04-13 17:10:09.187,SO0371327,10
Amatheon Pharmaceuticals,2022-04-13 18:10:10.710,SO0371352,10
Amatheon Pharmaceuticals,2022-04-15 13:10:08.533,SO0371810,10
Amatheon Pharmaceuticals,2022-04-19 11:10:11.887,SO0372456,10
Amatheon Pharmaceuticals,2022-04-13 16:10:10.720,SO0371109,10
Amatheon Pharmaceuticals,2022-04-19 16:10:05.703,SO0372674,10
Amatheon Pharmaceuticals,2022-04-21 13:15:11.377,SO0372930,10
Amatheon Pharmaceuticals,2022-04-21 13:15:11.847,SO0373176,10
Amatheon Pharmaceuticals,2022-04-21 18:10:10.633,SO0373413,10
Amatheon Pharmaceuticals,2022-04-01 13:15:08.100,SO0367074,10
Amatheon Pharmaceuticals,2022-04-01 13:15:08.380,SO0367379,10
Amatheon Pharmaceuticals,2022-04-01 13:15:08.677,SO0367499,10
Amatheon Pharmaceuticals,2022-04-01 13:15:08.927,SO0368068,10
Amatheon Pharmaceuticals,2022-04-01 18:15:10.637,SO0367861,10
Amatheon Pharmaceuticals,2022-04-05 12:15:04.893,SO0369377,10
Amatheon Pharmaceuticals,2022-04-08 13:10:08.910,SO0359800.1,10
Amatheon Pharmaceuticals,2022-04-08 17:10:12.177,SO0368259,10
Amatheon Pharmaceuticals,2022-04-08 17:10:13.160,SO0369092,10
Amatheon Pharmaceuticals,2022-04-12 11:10:11.663,SO0370890,10
Amatheon Pharmaceuticals,2022-04-14 19:10:06.260,SO0369761,10
Amatheon Pharmaceuticals,2022-04-06 13:10:06.787,SO0359636.1,10
Amatheon Pharmaceuticals,2022-04-14 17:10:19.043,SO0371695,10
Amatheon Pharmaceuticals,2022-04-14 19:10:06.743,SO0370886,10
Amatheon Pharmaceuticals,2022-04-25 11:10:08.993,SO0373667,10
Amatheon Pharmaceuticals,2022-04-18 11:45:56.157,SO0372031,10
Amatheon Pharmaceuticals,2022-04-01 11:15:05.370,SO0355338,10
Amatheon Pharmaceuticals,2022-04-01 11:15:05.900,SO0365430.1,10
Amatheon Pharmaceuticals,2022-04-01 12:10:13.847,SO0366588,10
Amatheon Pharmaceuticals,2022-04-01 12:10:14.110,SO0367228,10
Amatheon Pharmaceuticals,2022-04-01 14:11:38.743,SO0368710,10
Amatheon Pharmaceuticals,2022-04-01 14:08:01.693,TO0000238.1,10
Amatheon Pharmaceuticals,2022-04-01 18:15:10.277,SO0365958,10
Amatheon Pharmaceuticals,2022-04-01 15:10:14.773,SO0367979,10
Amatheon Pharmaceuticals,2022-04-04 11:10:19.443,SO0368929,10
"TherapeuticsMD, Inc.",2022-04-01 08:43:09.743,04012022 0843,10
"TherapeuticsMD, Inc.",2022-04-15 10:25:21.027,17601#18,10
"SHL Pharma, LLC",2022-04-18 08:42:14.893,6343968,10
"E5 Pharma, LLC",2022-04-04 14:20:13.930,7844507-F-F,10
"E5 Pharma, LLC",2022-04-04 14:20:14.307,7844516-F-F,10
"E5 Pharma, LLC",2022-04-13 12:30:00.853,7882870-F,10
"E5 Pharma, LLC",2022-04-13 12:30:00.900,7882871-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.447,7882872-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.493,7882873-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.540,7882874-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.590,7882875-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.637,7882876-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.680,7882877-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.713,7882878-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.760,7882879-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.807,7882880-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.853,7882881-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.900,7882882-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.947,7882883-F,10
"E5 Pharma, LLC",2022-04-13 12:30:02.993,7882884-F,10
"E5 Pharma, LLC",2022-04-13 12:30:03.040,7882885-F,10
"E5 Pharma, LLC",2022-04-13 12:30:03.090,7882886-F,10
"E5 Pharma, LLC",2022-04-13 12:30:03.167,7882887-F,10
"E5 Pharma, LLC",2022-04-13 12:30:03.243,7882888-F,10
"E5 Pharma, LLC",2022-04-13 12:30:03.340,7882889-F,10
"E5 Pharma, LLC",2022-04-13 12:30:03.430,7882890-F,10
"E5 Pharma, LLC",2022-04-13 12:30:03.540,7882891-F,10
"E5 Pharma, LLC",2022-04-13 12:30:03.637,7882892-F,10
"E5 Pharma, LLC",2022-04-08 14:00:02.083,7862732-F,10
"E5 Pharma, LLC",2022-04-08 14:00:02.210,7862733-F,10
"E5 Pharma, LLC",2022-04-08 14:00:02.333,7862734-F,10
"E5 Pharma, LLC",2022-04-08 14:00:02.413,7862735-F,10
"E5 Pharma, LLC",2022-04-08 14:00:02.473,7862736-F,10
"E5 Pharma, LLC",2022-04-08 14:00:02.757,7862737-F,10
"E5 Pharma, LLC",2022-04-08 14:00:08.537,7862746-F,10
"E5 Pharma, LLC",2022-04-08 14:00:09.943,7862759-F,10
"E5 Pharma, LLC",2022-04-08 14:00:10.240,7862764-F,10
"E5 Pharma, LLC",2022-04-08 14:00:10.333,7862766-F,10
"E5 Pharma, LLC",2022-04-08 14:00:11.193,7862777-F,10
"E5 Pharma, LLC",2022-04-08 14:00:11.583,7862781-F,10
"E5 Pharma, LLC",2022-04-08 14:00:12.130,7862787-F,10
"E5 Pharma, LLC",2022-04-08 14:00:12.693,7862790-F,10
"E5 Pharma, LLC",2022-04-08 14:00:13.193,7862795-F,10
"E5 Pharma, LLC",2022-04-08 14:00:13.367,7862797-F,10
"E5 Pharma, LLC",2022-04-08 14:00:13.553,7862799-F,10
"E5 Pharma, LLC",2022-04-01 16:50:02.110,7832001-F,10
"E5 Pharma, LLC",2022-04-04 14:20:14.210,7844514-F-F,10
"E5 Pharma, LLC",2022-04-04 20:00:01.233,7844512-F-BO-F,10
"E5 Pharma, LLC",2022-04-04 20:00:01.687,7844524-F-BO-F,10
"E5 Pharma, LLC",2022-04-05 13:20:07.227,7849067-F-F,10
"E5 Pharma, LLC",2022-04-05 13:20:07.320,7849069-F-F,10
"E5 Pharma, LLC",2022-04-05 13:20:07.370,7849070-F-F,10
"E5 Pharma, LLC",2022-04-05 13:20:07.417,7849071-F-F,10
"E5 Pharma, LLC",2022-04-05 13:20:07.447,7849072-F-F,10
"E5 Pharma, LLC",2022-04-05 13:20:07.493,7849073-F-F,10
"E5 Pharma, LLC",2022-04-05 13:20:07.523,7849074-F-F,10
"E5 Pharma, LLC",2022-04-05 13:20:07.667,7849077-F-F,10
"E5 Pharma, LLC",2022-04-05 13:20:07.727,7849078-F-F,10
"E5 Pharma, LLC",2022-04-05 13:20:08.057,7849083-F-F,10
